"District","Town_Name","2011_Area_Km2","2001_Area_Km2","Area_Change_Reason","state_name","civic_status","clean_town_name"
"Raigarh","Gharghoda N.P.",13,12.74,"Revised Computation","CHHATTISGARH","N.P.","Gharghoda "
"Bilaspur","Gaurella N.P.",25,12.93,"Revised Computation","CHHATTISGARH","N.P.","Gaurella "
"Bilaspur","Mungeli M.",11.83,5.59,"Revised Computation","CHHATTISGARH","M.","Mungeli "
"Bilaspur","Bilaspur M.Corp.",32.46,37.56,"change in Jurisdiction","CHHATTISGARH","M.Corp.","Bilaspur Corp."
"Bilaspur","Sirgiti N.P.",6.47,6.48,"Revised Computation","CHHATTISGARH","N.P.","Sirgiti "
"Bilaspur","Ratanpur N.P.",44.25,44.26,"Revised Computation","CHHATTISGARH","N.P.","Ratanpur "
"Bilaspur","Bodri N.P.",18,17.96,"Revised Computation","CHHATTISGARH","N.P.","Bodri "
"Bilaspur","Deori C.T.",1.83,1.86,"Revised Computation","CHHATTISGARH","C.T.","Deori "
"Kabeerdham","Kawardha M.",14,7,"change in Jurisdiction","CHHATTISGARH","M.","Kawardha "
"Rajnandgaon","Khairagarh M.",19.05,2.8,"change in Jurisdiction","CHHATTISGARH","M.","Khairagarh "
"Rajnandgaon","Dongargarh M.",24.68,6.43,"Revised Computation","CHHATTISGARH","M.","Dongargarh "
"Rajnandgaon","Rajnandgaon M.Corp.",76.05,78.09,"Revised Computation","CHHATTISGARH","M.Corp.","Rajnandgaon Corp."
"Rajnandgaon","Ambagarh Chowki N.P.",11.48,11.47,"Revised Computation","CHHATTISGARH","N.P.","Ambagarh Chowki "
"Durg","Bhilai Charoda M.",80.63,80.59,"Revised Computation","CHHATTISGARH","M.","Bhilai Charoda "
"Durg","Jamul M.",16.16,15.87,"Revised Computation","CHHATTISGARH","M.","Jamul "
"Durg","Durg M.Corp.",54.11,66.09,"Revised Computation","CHHATTISGARH","M.Corp.","Durg Corp."
"Durg","Dalli-Rajhara M.",17.12,37.25,"change in Jurisdiction","CHHATTISGARH","M.","Dalli-Rajhara "
"Durg","Kumhari M.",36.94,36.9,"Revised Computation","CHHATTISGARH","M.","Kumhari "
"Durg","Dhamdha N.P.",15.08,14.99,"Revised Computation","CHHATTISGARH","N.P.","Dhamdha "
"Durg","Than Khamharia N.P.",3.5,3.52,"Revised Computation","CHHATTISGARH","N.P.","Than Khamharia "
"Raipur","Bhatapara M.",13.79,7.61,"Revised Computation","CHHATTISGARH","M.","Bhatapara "
"Raipur","Raipur M.Corp.",147.5,109.71,"change in Jurisdiction","CHHATTISGARH","M.Corp.","Raipur Corp."
"Raipur","Birgaon M.",36.85,18.34,"change in Jurisdiction","CHHATTISGARH","M.","Birgaon "
"Janjgir Champa","Champa M.",18.57,18.93,"Revised Computation","CHHATTISGARH","M.","Champa "
"Janjgir Champa","Shivrinarayan N.P.",7.69,7.62,"Revised Computation","CHHATTISGARH","N.P.","Shivrinarayan "
"Janjgir Champa","Kharod N.P.",17.65,17.13,"Revised Computation","CHHATTISGARH","N.P.","Kharod "
"Janjgir Champa","Baloda N.P.",14.19,14.2,"Revised Computation","CHHATTISGARH","N.P.","Baloda "
"Mahasamund","Bagbahara N.P.",15.55,15.51,"Revised Computation","CHHATTISGARH","N.P.","Bagbahara "
"Bastar","Jagdalpur M.Corp.",50.49,26.38,"change in Jurisdiction","CHHATTISGARH","M.Corp.","Jagdalpur Corp."
"Dakshin Bastar Dantewada","Dantewada N.P.",15.88,10.51,"change in Jurisdiction","CHHATTISGARH","N.P.","Dantewada "
"Dakshin Bastar Dantewada","Geedam N.P.",9.15,9.16,"Revised Computation","CHHATTISGARH","N.P.","Geedam "
"Morena","Joura N.P.",4,1.68,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Joura "
"Morena","Sabalgarh M.",8.57,2.49,"Change in Jurisdiction","MADHYA PRADESH","M.","Sabalgarh "
"Bhind","Mehgaon N.P.",4,1.66,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Mehgaon "
"Bhind","Gormi N.P.",17,25,"Revised Computation","MADHYA PRADESH","N.P.","Gormi "
"Bhind","Mau N.P.",58.69,23.71,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Mau "
"Gwalior","Gwalior M.Corp.",173.68,166.83,"Revised Computation","MADHYA PRADESH","M.Corp.","Gwalior Corp."
"Gwalior","Morar Cantt C.B.",10.03,13.33,"Revised Computation","MADHYA PRADESH","C.B.","Morar Cantt "
"Gwalior","Tekanpur C.T.",6.34,6.15,"Revised Computation","MADHYA PRADESH","C.T.","Tekanpur "
"Datia","Datia M.",6.64,4.07,"Change in Jurisdiction","MADHYA PRADESH","M.","Datia "
"Shivpuri","Karera N.P.",12,1.09,"Revised Computation","MADHYA PRADESH","N.P.","Karera "
"Tikamgarh","Jatara N.P.",21.25,21.23,"Revised Computation","MADHYA PRADESH","N.P.","Jatara "
"Tikamgarh","Palera N.P.",25.83,25.53,"Revised Computation","MADHYA PRADESH","N.P.","Palera "
"Tikamgarh","Baldeogarh N.P.",0.31,0.41,"Revised Computation","MADHYA PRADESH","N.P.","Baldeogarh "
"Tikamgarh","Badagaon N.P.",39.13,15.84,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Badagaon "
"Chhatarpur","Barigarh N.P.",32.88,32.87,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Barigarh "
"Chhatarpur","Maharajpur N.P.",14.5,52.73,"Revised Computation","MADHYA PRADESH","N.P.","Maharajpur "
"Chhatarpur","Chhatarpur M.",14.25,16.52,"Change in Jurisdiction","MADHYA PRADESH","M.","Chhatarpur "
"Chhatarpur","Rajnagar N.P.",27.85,13.78,"Revised Computation","MADHYA PRADESH","N.P.","Rajnagar "
"Chhatarpur","Satai N.P.",23.5,23.48,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Satai "
"Panna","Panna M.",4.5,1.37,"Change in Jurisdiction","MADHYA PRADESH","M.","Panna "
"Panna","Pawai N.P.",6.56,51.62,"Revised Computation","MADHYA PRADESH","N.P.","Pawai "
"Sagar","Khurai M.",11.03,5.89,"Change in Jurisdiction","MADHYA PRADESH","M.","Khurai "
"Sagar","Shahpur N.P.",17.94,22.03,"Revised Computation","MADHYA PRADESH","N.P.","Shahpur "
"Sagar","Dhana C.T.",8.57,8.54,"Revised Computation","MADHYA PRADESH","C.T.","Dhana "
"Sagar","Karrapur C.T.",16.36,16.62,"Revised Computation","MADHYA PRADESH","C.T.","Karrapur "
"Sagar","Garhakota M.",2.94,3,"Revised Computation","MADHYA PRADESH","M.","Garhakota "
"Sagar","Deori M.",5,3.24,"Change in Jurisdiction","MADHYA PRADESH","M.","Deori "
"Damoh","Hatta M.",6.29,6.28,"Revised Computation","MADHYA PRADESH","M.","Hatta "
"Satna","Chitrakoot N.P.",83,160.35,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Chitrakoot "
"Rewa","Rewa M.Corp.",102,54.99,"Change in Jurisdiction","MADHYA PRADESH","M.Corp.","Rewa Corp."
"Rewa","Gurh N.P.",8.5,8.52,"Revised Computation","MADHYA PRADESH","N.P.","Gurh "
"Umaria","Chandia N.P.",88,34.9,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Chandia "
"Umaria","Umaria M.",12.68,12,"Change in Jurisdiction","MADHYA PRADESH","M.","Umaria "
"Umaria","Nowrozabad (Khodargama) N.P.",15.96,12.24,"Revised Computation","MADHYA PRADESH","N.P.","Nowrozabad (Khodargama) "
"Neemuch","Neemuch M.",22,13.44,"Change in Jurisdiction","MADHYA PRADESH","M.","Neemuch "
"Neemuch","Manasa N.P.",3.61,2.76,"Revised Computation","MADHYA PRADESH","N.P.","Manasa "
"Mandsaur","Bhanpura N.P.",8,0.79,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Bhanpura "
"Mandsaur","Mandsaur M.",36.36,10.36,"Change in Jurisdiction","MADHYA PRADESH","M.","Mandsaur "
"Ratlam","Jaora M.",10.04,5.54,"Change in Jurisdiction","MADHYA PRADESH","M.","Jaora "
"Ratlam","Ratlam Rly.Col. (Ratlam Kasba) C.T.",2.18,1.68,"Revised Computation","MADHYA PRADESH","C.T.","Ratlam Rly.Col. (Ratlam Kasba) "
"Ujjain","Khacharod M.",10.4,10.5,"Revised Computation","MADHYA PRADESH","M.","Khacharod "
"Shajapur","Shajapur M.",17.19,8.12,"Change in Jurisdiction","MADHYA PRADESH","M.","Shajapur "
"Dewas","Loharda N.P.",14,16.09,"Revised Computation","MADHYA PRADESH","N.P.","Loharda "
"Dewas","Kantaphod N.P.",11.24,20.75,"Revised Computation","MADHYA PRADESH","N.P.","Kantaphod "
"Dewas","Satwas N.P.",14.97,14.98,"Revised Computation","MADHYA PRADESH","N.P.","Satwas "
"Dewas","Karnawad N.P.",44.48,44.49,"Revised Computation","MADHYA PRADESH","N.P.","Karnawad "
"Dewas","Bagli N.P.",9,1.13,"Revised Computation","MADHYA PRADESH","N.P.","Bagli "
"Dhar","Dhar M.",36,17.48,"Revised Computation","MADHYA PRADESH","M.","Dhar "
"Dhar","Mandav N.P.",42.2,30.93,"Revised Computation","MADHYA PRADESH","N.P.","Mandav "
"Dhar","Dharampuri N.P.",4,3,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Dharampuri "
"Indore","Sawer N.P.",8,1.74,"Revised Computation","MADHYA PRADESH","N.P.","Sawer "
"Indore","Manglaya Sadak C.T.",9.6,6.63,"Revised Computation","MADHYA PRADESH","C.T.","Manglaya Sadak "
"Indore","Hatod N.P.",18.85,18.84,"Revised Computation","MADHYA PRADESH","N.P.","Hatod "
"Indore","Rau N.P.",14.74,0.64,"Revised Computation","MADHYA PRADESH","N.P.","Rau "
"Indore","Manpur N.P.",13.66,13.31,"Revised Computation","MADHYA PRADESH","N.P.","Manpur "
"Barwani","Barwani M.",27,11.12,"Revised Computation","MADHYA PRADESH","M.","Barwani "
"Barwani","Khetia N.P.",5.3,1.33,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Khetia "
"Barwani","Sendhwa M.",25,2.32,"Revised Computation","MADHYA PRADESH","M.","Sendhwa "
"Rajgarh","Jirapur N.P.",9.25,15.8,"Revised Computation","MADHYA PRADESH","N.P.","Jirapur "
"Bhopal","Bhopal M.Corp.",285.88,298.48,"Revised Computation","MADHYA PRADESH","M.Corp.","Bhopal Corp."
"Sehore","Sehore M.",15.1,16.53,"Revised Computation","MADHYA PRADESH","M.","Sehore "
"Sehore","Ashta M.",15.33,15.38,"Revised Computation","MADHYA PRADESH","M.","Ashta "
"Sehore","Nasrullaganj N.P.",8.08,8.81,"Revised Computation","MADHYA PRADESH","N.P.","Nasrullaganj "
"Raisen","Gairatganj N.P.",14.55,3.8,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Gairatganj "
"Raisen","Mandideep M.",12.78,12.88,"Revised Computation","MADHYA PRADESH","M.","Mandideep "
"Raisen","Baraily N.P.",16.76,0.4,"Revised Computation","MADHYA PRADESH","N.P.","Baraily "
"Betul","Bhainsdehi N.P.",18.87,4.46,"Revised Computation","MADHYA PRADESH","N.P.","Bhainsdehi "
"Betul","Multai M.",10.59,2.59,"Change in Jurisdiction","MADHYA PRADESH","M.","Multai "
"Betul","Amla M.",6.39,3.13,"Revised Computation","MADHYA PRADESH","M.","Amla "
"Harda","Khirkiya N.P.",9.75,29.45,"Revised Computation","MADHYA PRADESH","N.P.","Khirkiya "
"Hoshangabad","Pipariya M.",7,5.2,"Change in Jurisdiction","MADHYA PRADESH","M.","Pipariya "
"Hoshangabad","Pachmarhi Cantt C.B.",10.01,9.8,"Revised Computation","MADHYA PRADESH","C.B.","Pachmarhi Cantt "
"Jabalpur","Jabalpur  M.Corp.",129.2,130.46,"Change in Jurisdiction","MADHYA PRADESH","M.Corp.","Jabalpur  Corp."
"Jabalpur","Ordnance Factory Khamaria C.T.",19.92,19.93,"Revised Computation","MADHYA PRADESH","C.T.","Ordnance Factory Khamaria "
"Jabalpur","GCF Jabalpur C.T.",7.65,7,"Revised Computation","MADHYA PRADESH","C.T.","GCF Jabalpur "
"Jabalpur","Bhedaghat N.P.",16.12,2.37,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Bhedaghat "
"Jabalpur","Bilpura C.T.",2.62,2.56,"Revised Computation","MADHYA PRADESH","C.T.","Bilpura "
"Jabalpur","Vehicle Factory Area Jabalpur C.T.",4.43,3.76,"Revised Computation","MADHYA PRADESH","C.T.","Vehicle Factory Area Jabalpur "
"Jabalpur","Pipariya C.T.",4.12,3.97,"Revised Computation","MADHYA PRADESH","C.T.","Pipariya "
"Jabalpur","Panagar M.",12,10.26,"Revised Computation","MADHYA PRADESH","M.","Panagar "
"Narsimhapur","Gadarwara M.",12.54,7.77,"Change in Jurisdiction","MADHYA PRADESH","M.","Gadarwara "
"Narsimhapur","Narsimhapur M.",14.71,32.12,"Change in Jurisdiction","MADHYA PRADESH","M.","Narsimhapur "
"Dindori","Shahpura N.P.",9.5,17.67,"Revised Computation","MADHYA PRADESH","N.P.","Shahpura "
"Mandla","Mandla M.",8.87,12.96,"Change in Jurisdiction","MADHYA PRADESH","M.","Mandla "
"Chhindwara","Chaurai Khas M.",1.31,0.31,"Change in Jurisdiction","MADHYA PRADESH","M.","Chaurai Khas "
"Chhindwara","Panara C.T.",6.25,0.19,"Revised Computation","MADHYA PRADESH","C.T.","Panara "
"Chhindwara","Sausar M.",15.93,15.92,"Revised Computation","MADHYA PRADESH","M.","Sausar "
"Chhindwara","Pandhurna M.",23.32,26,"Revised Computation","MADHYA PRADESH","M.","Pandhurna "
"Balaghat","Balaghat M.",18.19,19.98,"Revised Computation","MADHYA PRADESH","M.","Balaghat "
"Balaghat","Malajkhand M.",80.45,80.37,"Revised Computation","MADHYA PRADESH","M.","Malajkhand "
"Guna","Kumbhraj N.P.",5.3,1.2,"Revised Computation","MADHYA PRADESH","N.P.","Kumbhraj "
"Ashoknagar","Chanderi M.",14.87,41.87,"Revised Computation","MADHYA PRADESH","M.","Chanderi "
"Ashoknagar","Ashoknagar M.",4.43,5.44,"Revised Computation","MADHYA PRADESH","M.","Ashoknagar "
"Shahdol","Jaisinghnagar N.P.",23.41,12.25,"Change in Jurisdiction","MADHYA PRADESH","N.P.","Jaisinghnagar "
"Sidhi","Churhat N.P.",23.97,26.16,"Revised Computation","MADHYA PRADESH","N.P.","Churhat "
"Sidhi","Sidhi M.",12.31,11.28,"Change in Jurisdiction","MADHYA PRADESH","M.","Sidhi "
"Alirajpur","Alirajpur M.",13.01,13.32,"Revised Computation","MADHYA PRADESH","M.","Alirajpur "
"Khandwa (East Nimar)","Omkareshwar N.P.",12.69,12.67,"Revised Computation","MADHYA PRADESH","N.P.","Omkareshwar "
"Kachchh","Bhachau M.",27.08,92.44,"Change in Jurisdiction","GUJARAT","M.","Bhachau "
"Kachchh","Bhuj M.",37.79,9.48,"Change in Jurisdiction","GUJARAT","M.","Bhuj "
"Banas Kantha","Deesa M.",20.81,8.43,"Change in Jurisdiction","GUJARAT","M.","Deesa "
"Banas Kantha","Palanpur M.",23.48,19.9,"Revised Computation","GUJARAT","M.","Palanpur "
"Patan","Sidhpur M.",11.67,11.66,"Revised Computation","GUJARAT","M.","Sidhpur "
"Patan","Patan M.",13.32,13.62,"Revised Computation","GUJARAT","M.","Patan "
"Mahesana","Unjha M.",25,35.15,"Revised Computation","GUJARAT","M.","Unjha "
"Mahesana","Vijapur M.",3.48,1.36,"Revised Computation","GUJARAT","M.","Vijapur "
"Mahesana","Mahesana M.",30.12,12.87,"Change in Jurisdiction","GUJARAT","M.","Mahesana "
"Mahesana","Kadi M.",17.58,15,"Revised Computation","GUJARAT","M.","Kadi "
"Gandhinagar","Gandhinagar N.A.C.",57.24,56.75,"Change in Jurisdiction","GUJARAT","N.A.","Gandhinagar "
"Ahmadabad","Viramgam M.",13.67,8.78,"Change in Jurisdiction","GUJARAT","M.","Viramgam "
"Ahmadabad","Ahmadabad M.Corp.",468.92,397.08,"Change in Jurisdiction","GUJARAT","M.Corp.","Ahmadabad Corp."
"Ahmadabad","Dholka M.",15.29,7.64,"Change in Jurisdiction","GUJARAT","M.","Dholka "
"Surendranagar","Limbdi M.",6.18,5.18,"Change in Jurisdiction","GUJARAT","M.","Limbdi "
"Surendranagar","Dhrangadhra M.",14.31,10.36,"Change in Jurisdiction","GUJARAT","M.","Dhrangadhra "
"Rajkot","Rajkot M.Corp.",110.84,104.86,"Change in Jurisdiction","GUJARAT","M.Corp.","Rajkot Corp."
"Rajkot","Gondal M.",74.48,11.59,"Change in Jurisdiction","GUJARAT","M.","Gondal "
"Jamnagar","Okha M.",36.46,20.7,"Change in Jurisdiction","GUJARAT","M.","Okha "
"Jamnagar","Jamnagar M.Corp.",34.1,35.5,"Change in Jurisdiction","GUJARAT","M.Corp.","Jamnagar Corp."
"Jamnagar","Sikka M.",4.28,8.36,"Change in Jurisdiction","GUJARAT","M.","Sikka "
"Junagadh","Manavadar M.",27.01,27.66,"Revised Computation","GUJARAT","M.","Manavadar "
"Junagadh","Junagadh M.Corp.",57.16,28.13,"Change in Jurisdiction","GUJARAT","M.Corp.","Junagadh Corp."
"Amreli","Amreli M.",13.43,11.44,"Revised Computation","GUJARAT","M.","Amreli "
"Bhavnagar","Bhavnagar M.Corp.",53.3,90.16,"Revised Computation","GUJARAT","M.Corp.","Bhavnagar Corp."
"Bhavnagar","Alang C.T.",11.63,17.45,"Change in Jurisdiction","GUJARAT","C.T.","Alang "
"Anand","Anand M.",39.62,24.18,"Change in Jurisdiction","GUJARAT","M.","Anand "
"Anand","Anklav M.",21.84,21.31,"Revised Computation","GUJARAT","M.","Anklav "
"Panch Mahals","Halol M.",21.2,16.26,"Revised Computation","GUJARAT","M.","Halol "
"Dohad","Devgadbaria M.",9.49,10.25,"Change in Jurisdiction","GUJARAT","M.","Devgadbaria "
"Vadodara","Vadodara M.Corp.",166.23,123.18,"Change in Jurisdiction","GUJARAT","M.Corp.","Vadodara Corp."
"Vadodara","Tarsali C.T.",1.82,6.1,"Change in Jurisdiction","GUJARAT","C.T.","Tarsali "
"Vadodara","GSFC Complex I.N.A.",3.23,3.21,"Revised Computation","GUJARAT","I.N.","GSFC Complex "
"Bharuch","Bharuch M.",17.38,18.43,"Change in Jurisdiction","GUJARAT","M.","Bharuch "
"Bharuch","Anklesvar M.",8.87,11.05,"Revised Computation","GUJARAT","M.","Anklesvar "
"Bharuch","Anklesvar I.N.A.",15.48,4.77,"Revised Computation","GUJARAT","I.N.","Anklesvar "
"Navsari","Navsari M.",18.04,18.67,"Change in Jurisdiction","GUJARAT","M.","Navsari "
"Valsad","Umbergaon M.",12.69,10.93,"Revised Computation","GUJARAT","M.","Umbergaon "
"Valsad","Vapi l.N.A.",9.31,9.45,"Revised Computation","GUJARAT",NA,"Vapi l."
"Surat","Sachin INA I.N.A.",6.16,5.16,"Revised Computation","GUJARAT","I.N.","Sachin INA "
"Surat","Surat M.Corp.",335.82,224.19,"Change in Jurisdiction","GUJARAT","M.Corp.","Surat Corp."
"Daman District","Daman M.Cl.",6.68,6.5,"Change in jurisdiction","DAMAN & DIU","M.Cl.","Daman Cl."
"Diu District","Diu M.Cl.",11.66,17.76,"Revised Computation","DAMAN & DIU","M.Cl.","Diu Cl."
"Jalgaon","Yawal M.Cl.",53.79,3.13,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Yawal Cl."
"Amravati","Morshi M.Cl.",17.59,5.73,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Morshi Cl."
"Amravati","Warud M.Cl.",39.35,12.34,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Warud Cl."
"Wardha","Wardha M.Cl.",11.84,7.77,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Wardha Cl."
"Yavatmal","Umarkhed M.Cl.",29.26,1.75,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Umarkhed Cl."
"Nanded","Nanded Waghala M.Corp.",58.16,46,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Nanded Waghala Corp."
"Hingoli","Hingoli M.Cl.",33.72,16.4,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Hingoli Cl."
"Nashik","Satana M.Cl.",29.52,16,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Satana Cl."
"Nashik","Sinnar M.Cl.",50.09,3.96,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Sinnar Cl."
"Thane","Navi Mumbai M.Corp.",108.68,132.86,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Navi Mumbai Corp."
"Thane","Kalyan Dombivli M.Corp.",57.13,104.57,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Kalyan Dombivli Corp."
"Thane","Vasai Virar M.Corp.",319.39,NA,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Vasai Virar Corp."
"Pune","Pimpri Chinchwad M.Corp.",184.72,176.89,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Pimpri Chinchwad Corp."
"Pune","Pune M.Corp.",249.29,430,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Pune Corp."
"Ahmadnagar","Ahmadnagar M.Corp.",81.17,62.47,"Change in Jurisdiction","MAHARASHTRA","M.Corp.","Ahmadnagar Corp."
"Osmanabad","Osmanabad M.Cl.",94.07,12.06,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Osmanabad Cl."
"Ratnagiri","Dapoli Camp N.P.",4.51,2.7,"Change in Jurisdiction","MAHARASHTRA","N.P.","Dapoli Camp "
"Kolhapur","Kagal M.Cl.",77.38,5.24,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Kagal Cl."
"Kolhapur","Murgud M.Cl.",13.84,2.08,"Change in Jurisdiction","MAHARASHTRA","M.Cl.","Murgud Cl."
"Medak","Siddipet M.",3.17,3.19,"Revised Computation","ANDHRA PRADESH","M.","Siddipet "
"Medak","Ramachandrapuram(BHEL) Township C.T.",9,1.82,"Revised Computation","ANDHRA PRADESH","C.T.","Ramachandrapuram(BHE Township C.T."
"Medak","Zaheerabad M.",26.46,5.19,"Change in Jurisdiction","ANDHRA PRADESH","M.","Zaheerabad "
"Hyderabad(GHMC spread over in Hyderabad, Medak and Rangareddy districts)","G.H.M.C.",976.52,772.2,"Change in Jurisdiction","ANDHRA PRADESH",NA,""
"Hyderabad","Secunderabad C.B.",22.81,40.17,"Revised Computation","ANDHRA PRADESH","C.B.","Secunderabad "
"Vizianagaram","Vizianagaram M.",28.31,24.41,"Change in Jurisdiction","ANDHRA PRADESH","M.","Vizianagaram "
"Visakhapatnam","Visakhapatnam M.Corp.",513.61,325.83,"Change in Jurisdiction","ANDHRA PRADESH","M.Corp.","Visakhapatnam Corp."
"Visakhapatnam","Bheemunipatnam M.",18.9,18.88,"Revised Computation","ANDHRA PRADESH","M.","Bheemunipatnam "
"Prakasam","Chirala M.",13.26,13.3,"Revised Computation","ANDHRA PRADESH","M.","Chirala "
"Prakasam","Kandukur M.",33.06,71.86,"Change in Jurisdiction","ANDHRA PRADESH","M.","Kandukur "
"Y.S.R.","Kadapa M.Corp.",182.75,85.86,"Change in Jurisdiction","ANDHRA PRADESH","M.Corp.","Kadapa Corp."
"Warangal","Warangal M.Corp.",68,93.97,"Revised Computation","ANDHRA PRADESH","M.Corp.","Warangal Corp."
"S P S Nellore","Venkatagiri M.",25.89,10.63,"Change in Jurisdiction","ANDHRA PRADESH","M.","Venkatagiri "
"East Godavari","Rajahmundry M.Corp.",44.5,51.16,"Revised Computation","ANDHRA PRADESH","M.Corp.","Rajahmundry Corp."
"East Godavari","Kakinada M.Corp.",30.51,32.42,"Revised Computation","ANDHRA PRADESH","M.Corp.","Kakinada Corp."
"Chittoor","Tirupati M.Corp.",24.06,30.62,"Revised Computation","ANDHRA PRADESH","M.Corp.","Tirupati Corp."
"Chittoor","Nagari M.",29.86,7,"Change in Jurisdiction","ANDHRA PRADESH","M.","Nagari "
"Chittoor","Puttur M.",43.29,8.55,"Change in Jurisdiction","ANDHRA PRADESH","M.","Puttur "
"khammam","Khammam M.",18.53,21.68,"Revised Computation","ANDHRA PRADESH","M.","Khammam "
"khammam","Manugur M.",45.18,28.92,"Change in Jurisdiction","ANDHRA PRADESH","M.","Manugur "
"West Godavari","Eluru M.Corp.",14.55,22.19,"Revised Computation","ANDHRA PRADESH","M.Corp.","Eluru Corp."
"Srikakulam","Rajam N.P.",29.13,8,"Change in Jurisdiction","ANDHRA PRADESH","N.P.","Rajam "
"Rangareddy","Meerpet C.T.",4,4.01,"Revised Computation","ANDHRA PRADESH","C.T.","Meerpet "
"Krishna","Vijayawada M.Corp.",59.69,81.99,"Revised Computation","ANDHRA PRADESH","M.Corp.","Vijayawada Corp."
"Anantapur","Anantapur M.Corp.",16.35,47.51,"Revised Computation","ANDHRA PRADESH","M.Corp.","Anantapur Corp."
"Bangalore","BBMP M.Corp..",709.96,526.97,"Change in jurisdiction","KARNATAKA","M.Corp..","BBMP Corp.."
"Bangalore","Anekal T.M.C",5,5.33,"Revised Computation","KARNATAKA","T.M.","Anekal C"
"Dakshina Kannada","Mangalore M.Corp.",134.61,129.97,"Change in jurisdiction","KARNATAKA","M.Corp.","Mangalore Corp."
"Bijapur","Bijapur C.M.C.",98.73,102.59,"Change in jurisdiction","KARNATAKA","C.M.","Bijapur "
"Koppal","Gangawati C.M.C.",3.77,10.34,"Revised Computation","KARNATAKA","C.M.","Gangawati "
"Koppal","Munirabad Project Area C.T.",4.43,4.4,"Revised Computation","KARNATAKA","C.T.","Munirabad Project Area "
"Uttara Kannada","Sirsi C.M.C.",11.99,36.74,"Change in jurisdiction","KARNATAKA","C.M.","Sirsi "
"Belgaum","Sadalgi T.P.",14.67,12.22,"Change in jurisdiction","KARNATAKA","T.P.","Sadalgi "
"Yadgir","Bhimarayangudi N.A.C.",25.16,24,"Revised Computation","KARNATAKA","N.A.","Bhimarayangudi "
"North Goa","Pernem M.Cl.",2.5,2.52,"Revised Computation","GOA","M.Cl.","Pernem Cl."
"North Goa","Parcem C.T.",10.4,10.44,"Revised Computation","GOA","C.T.","Parcem "
"North Goa","Siolim C.T.",12.2,12.22,"Revised Computation","GOA","C.T.","Siolim "
"North Goa","Colvale C.T.",10.8,10.72,"Revised Computation","GOA","C.T.","Colvale "
"North Goa","Calangute C.T.",11.07,11.72,"Revised Computation","GOA","C.T.","Calangute "
"North Goa","Candolim C.T.",7,6.96,"Revised Computation","GOA","C.T.","Candolim "
"North Goa","Reis Magos C.T.",7.6,7.61,"Revised Computation","GOA","C.T.","Reis Magos "
"North Goa","Penha-de-Franca C.T.",5.4,5.42,"Revised Computation","GOA","C.T.","Penha-de-Franca "
"North Goa","Aldona C.T.",9.04,8.04,"Revised Computation","GOA","C.T.","Aldona "
"North Goa","Panaji M.Corp.",8.12,44.25,"Change in Jurisdiction","GOA","M.Corp.","Panaji Corp."
"North Goa","Chimbel C.T.",3.3,3.28,"Revised Computation","GOA","C.T.","Chimbel "
"North Goa","Calapor C.T.",9.8,9.82,"Revised Computation","GOA","C.T.","Calapor "
"North Goa","Bambolim C.T.",10.6,7.64,"Revised Computation","GOA","C.T.","Bambolim "
"North Goa","Goa Velha C.T.",10.1,10.13,"Revised Computation","GOA","C.T.","Goa Velha "
"North Goa","Bicholim M.Cl.",14.47,14.53,"Revised Computation","GOA","M.Cl.","Bicholim Cl."
"North Goa","Sanquelim M.Cl.",14.69,14.72,"Revised Computation","GOA","M.Cl.","Sanquelim Cl."
"North Goa","Pale C.T.",12.99,13.54,"Revised Computation","GOA","C.T.","Pale "
"North Goa","Valpoi M.Cl.",11.71,11.72,"Revised Computation","GOA","M.Cl.","Valpoi Cl."
"North Goa","Ponda M.Cl",5.73,5.22,"Revised Computation","GOA","M.Cl","Ponda Cl"
